Series,Changepoint,Time,CO2_Concentration,t-statistic,p-value
p1,1,6.0,369.4098,3.4273124480808574,0.026601098041885766
p1,2,530.0,102.094,3.6713807363898865,0.021365184080131175
p1,3,1040.0,82.94399999999996,4.0176506304246,0.015895357687902376
p1,4,2100.0,69.7876,4.048271272184818,0.015497808884870318
p1,5,3300.0,61.03539999999998,3.671409434337993,0.02136464486531228
p2,1,6.0,780.662,3.4593429144219225,0.025833240626077104
p2,2,530.0,267.057,3.672762937842641,0.02133923190836351
p2,3,1040.0,199.48130000000003,4.061853007345031,0.015325312254759237
p2,4,2100.0,156.05700000000002,4.069975507377812,0.015223255391033965
p2,5,3300.0,133.91969999999998,3.6706635000122927,0.02137866574137787
p3,1,6.0,1212.483,3.4936203523896965,0.02504049715200902
p3,2,530.0,505.103,3.6733391871259458,0.021328423389843292
p3,3,1040.0,364.7835,4.074712044363204,0.015164119784977854
p3,4,2100.0,274.3192,4.079600396005657,0.015103378512727398
p3,5,3300.0,234.48660000000007,3.6714083364353938,0.021364665493852297
p4,1,6.0,1654.381,3.5125995487361443,0.024614006008686982
p4,2,530.0,799.192,3.6738965220417463,0.02131797586095088
p4,3,1040.0,581.3393,4.07012429873383,0.015221393514009458
p4,4,2100.0,430.6106,4.082040249097762,0.015073171191803654
p4,5,10200.0,196.4116,4.092898041422493,0.014939622073764872
p5,1,6.0,2101.498,3.532572055970991,0.0241744909675292
p5,2,530.0,1134.375,3.673704890267009,0.021321567407286066
p5,3,1040.0,848.565,4.059554691715955,0.01535433927007103
p5,4,2100.0,628.7184,4.08514884241446,0.01503478964618004
p5,5,10200.0,295.7092,4.056725547095209,0.015390161403367589
p6,1,6.0,2551.584,3.5486074624966246,0.023828363683575812
p6,2,1040.0,1152.015,4.049775055981323,0.01547859525956348
p6,3,2100.0,860.565,4.0846932386413854,0.015040407582604547
p6,4,10200.0,422.9491,4.025919495812043,0.015786805670439982
p6,5,13600.0,324.1174,3.7740799419118574,0.019535444603548703
p7,1,6.0,3003.5750000000003,3.553596140235324,0.023721887612679425
p7,2,1040.0,1480.217,4.041811603893258,0.015580670238845282
p7,3,2100.0,1118.854,4.08667082969064,0.015016040710721209
p7,4,10200.0,572.8792,4.008259397279636,0.016019734630284256
p7,5,13600.0,439.2317000000001,3.800781300302831,0.019090825728859305
p8,1,6.0,3456.878,3.552502958032848,0.02374517144565687
p8,2,1040.0,1824.206,4.037030363486918,0.015642345005689538
p8,3,2100.0,1397.357,4.0873352432414025,0.015007864814218057
p8,4,10200.0,741.997,3.9969476315871453,0.01617110429289497
p8,5,13600.0,573.5203,3.8200306959159,0.01877779911068561
p9,1,6.0,3911.13,3.5506702019427965,0.023784268648551047
p9,2,1040.0,2181.208,4.033267800230359,0.015691086122955604
p9,3,2100.0,1693.263,4.091064629467751,0.01496207246008935
p9,4,10200.0,928.51,3.987801547303154,0.016294752198515682
p9,5,13600.0,724.467,3.8327634014403453,0.018574121097671
p10,1,6.0,4365.995,3.5503907640733257,0.02379023647909693
p10,2,1040.0,2548.175,4.030495444351,0.015727116801192327
p10,3,2100.0,2003.664,4.090032763133533,0.014974725674862561
p10,4,10200.0,1130.323,3.9925139320672947,0.016230903058062945
p10,5,13600.0,890.4860000000001,3.8439541675768947,0.018397291254924578
p11,1,6.0,4821.359,3.5486546163107033,0.023827354593271025
p11,2,1040.0,2922.259,4.028219241128654,0.015756773697370646
p11,3,2100.0,2324.764,4.090102538506691,0.01497386965136598
p11,4,10200.0,1345.168,3.9748171587983743,0.016472248747558926
p11,5,13600.0,1069.2569999999998,3.8539742751654043,0.018240669305385718
p12,1,6.0,5277.1230000000005,3.547548159784872,0.023851046148550718
p12,2,1040.0,3301.739,4.0262385293478875,0.015782635356521805
p12,3,2100.0,2655.715,4.087298641803619,0.015008315071229782
p12,4,10200.0,1571.821,3.9700395835801707,0.016538142351621685
p12,5,22500.0,694.7533999999999,5.6322028534400905,0.0048895053130080185
p13,1,6.0,5733.192999999999,3.545323902289106,0.023898757082700655
p13,2,2100.0,2994.252,4.083205106506086,0.015058774987770685
p13,3,10200.0,1808.339,3.966225866310124,0.016590969596004878
p13,4,13600.0,1462.681,3.8700750675921527,0.017992336114324443
p13,5,22500.0,816.6680000000001,5.597641992174383,0.004999761888591891
p14,1,6.0,6189.523,3.5441747281598195,0.023923451698685042
p14,2,2100.0,3338.707,4.0791026458944595,0.015109550003063068
p14,3,10200.0,2053.092,3.968677331192471,0.01655698890528993
p14,4,13600.0,1674.106,3.876821535184328,0.017889487401640987
p14,5,22500.0,949.246,5.559654636796529,0.005124483771785388
p15,1,6.0,6646.04,3.54612984707553,0.023881456230192766
p15,2,2100.0,3688.778,4.075917741759799,0.015149110849441294
p15,3,10200.0,2304.41,3.9605809535052066,0.016669535036872667
p15,4,13600.0,1892.717,3.882788036014244,0.017799116245641518
p15,5,22500.0,1090.467,5.525113685635201,0.005241211555915599
p16,1,6.0,7102.695,3.547474936831473,0.023852614994812817
p16,2,2100.0,4048.65,4.0706271344203095,0.015215103387618835
p16,3,10200.0,2555.7470000000003,3.9600056552585943,0.016677567063734442
p16,4,13600.0,2111.676,3.886895725657877,0.017737217640065125
p16,5,22500.0,1235.674,5.481291377087976,0.005394026152005511
p17,1,2100.0,4402.402999999999,4.02175914457948,0.01584131010185821
p17,2,10200.0,2814.024,3.9576483197582633,0.016710527601960044
p17,3,13600.0,2339.4840000000004,3.89266336586351,0.017650740594245363
p17,4,22500.0,1389.363,5.4541069991539715,0.005491565135862532
p17,5,27500.0,1025.106,5.915175101138377,0.0040902796829019265
p18,1,2100.0,4760.7,4.059315056483317,0.015357369596680359
p18,2,10200.0,3071.744,3.9766723839137166,0.016446746055034798
p18,3,13600.0,2568.434,3.894870240601341,0.017617785708650333
p18,4,22500.0,1547.365,5.424206650188973,0.005601353189469015
p18,5,27500.0,1145.988,5.8698577151613005,0.004206856980394847
p19,1,2100.0,5126.947,4.058682102452561,0.01536537712990509
p19,2,10200.0,3322.714,3.946611339380544,0.01686589276322851
p19,3,13600.0,2788.287,3.898529145761187,0.017563310416162048
p19,4,22500.0,1701.682,5.398200091117519,0.005699033881158778
p19,5,27500.0,1266.597,5.817949423767258,0.00434544026982876
p20,1,2100.0,5496.269,4.056960752619783,0.015387179441530712
p20,2,10200.0,3586.277,3.9427348347037254,0.016920872796996077
p20,3,13600.0,3011.782,3.8816791183564265,0.017815870878399944
p20,4,22500.0,1860.359,5.374039937721157,0.005791651979850234
p20,5,27500.0,1392.248,5.779951210556847,0.004450447664178487
