Series,Time_mean,Time_std,CO2_Concentration_mean,CO2_Concentration_std,t-statistic_mean,t-statistic_std,p-value_mean,p-value_std
p1,1395.2,1316.2086460740181,137.05416,130.80797721128482,3.7672049042836315,0.2624915664862549,0.020144818712020382,0.004591117227601398
p10,5389.2,6108.892141788067,2187.7286,1388.3075001401164,3.9014774142404094,0.21625053705142874,0.01782405465362787,0.003569939837318106
p11,5389.2,6108.892141788067,2496.5614,1498.1923513088366,3.8991535659819654,0.2143216740827624,0.01785418319899046,0.0035508176380256344
p12,7169.2,9470.935708788229,2700.23028,1753.526123285819,4.252665553591328,0.7998135020848789,0.015213928848186403,0.006769652171909862
p13,9681.2,9097.140605706827,2563.0266,1940.7467971196807,4.21249438697437,0.7997445274002887,0.015708119933878512,0.0068588297994935585
p14,9681.2,9097.140605706827,2840.9348,2062.8555656140106,4.205686175445521,0.7828116828211521,0.01572079235609288,0.006807008446962853
p15,9681.2,9097.140605706827,3124.4824,2182.1308876653798,4.198106052797996,0.767592964775818,0.01574808598361277,0.006744640214870925
p16,9681.2,9097.140605706827,3410.8884,2301.464381133955,4.189258965851247,0.7482126389699709,0.015775305847647348,0.006670661345727523
p17,15180.0,10046.740765044155,2394.076,1331.9385328691035,4.64827058609872,0.9610979850183007,0.011956884623365615,0.006591466226262568
p18,15180.0,10046.740765044155,2618.8462,1424.1294487325229,4.64498440926973,0.9300299371921762,0.01184602230604587,0.006406290089313759
p19,15180.0,10046.740765044155,2841.2454,1519.6357076122883,4.623994420495814,0.9123662491864435,0.011967810892056636,0.0064078540947125635
p2,1395.2,1316.2086460740181,307.4354,269.3747556722697,3.7869195733999397,0.2690551683249187,0.019819941184322336,0.004534006126534745
p20,15180.0,10046.740765044155,3069.387,1615.1465707602206,4.607073170791589,0.8991727512648946,0.012073204552191092,0.006423100084964092
p3,1395.2,1316.2086460740181,518.23506,401.77984325138556,3.7985360632639797,0.2646127543869241,0.019600216866681973,0.004347330756551638
p4,2775.2,4222.080671896263,732.3869,560.2878449373948,3.886311732006395,0.27365837858396586,0.018233233729843167,0.004475906147390196
p5,2775.2,4222.080671896263,1001.7731200000001,687.0492852671721,3.881541205492725,0.25923436591114934,0.018255069738886784,0.004225964284383139
p6,5389.2,6108.892141788067,1062.2460999999998,897.2730540161004,3.8966150389686467,0.23004084738132638,0.017933923359946504,0.0037523486321697735
p7,5389.2,6108.892141788067,1322.95138,1028.8892938368065,3.898223854280338,0.2216420750426773,0.017885831784277894,0.003624339497868798
p8,5389.2,6108.892141788067,1598.79166,1154.2476819190838,3.8987693784528425,0.21818132869970974,0.01786885693382901,0.003584070431339532
p9,5389.2,6108.892141788067,1887.7156,1273.9091534627967,3.8991135160768815,0.2170963205863613,0.017861260105556536,0.0035762792164368783
